,mean_reward_100_steps,steps
819,-193.9106586989844,90832
820,-191.13750395391196,90903
821,-187.79360580710457,90987
822,-186.86611268037822,91063
823,-183.0349059286054,91173
824,-181.7832697051856,91259
825,-178.7267072001863,91360
826,-176.5030726113959,91437
827,-173.6929434960545,91532
828,-171.8494514805277,91599
829,-170.39069266449877,91652
830,-167.50569016575497,91708
831,-165.2726598403022,91772
832,-164.37024054119212,91852
833,-160.83521650846777,91924
834,-157.54845018744,92025
835,-157.40699770034217,92096
836,-155.88232000308696,92204
837,-153.16931928371977,92268
838,-152.8924996178543,92351
839,-153.5338761735193,92463
840,-150.99079143755475,92528
841,-150.14725195555337,92619
842,-147.81511300106385,92674
843,-147.30306543241284,92745
844,-146.20631890777554,92849
845,-145.13567247010673,92946
846,-144.27329780739217,93002
847,-143.44662828612942,93111
848,-142.5383069345003,93200
849,-140.08674440947433,93266
850,-139.75436758348366,93335
851,-140.35566014073893,93440
852,-139.44515468416793,93498
853,-140.56759182099793,93614
854,-140.44045171760135,93699
855,-140.4257694232034,93756
856,-140.22789491983139,93815
857,-141.12760877633914,93891
858,-140.43540827291574,93960
859,-140.20210550329998,94021
860,-138.88393115991573,94122
861,-136.64342081844455,94194
862,-138.13074337635476,94304
863,-137.8142677663106,94380
864,-137.7685322146962,94458
865,-136.00737554191306,94565
866,-136.19429816132129,94641
867,-136.74698489526673,94699
868,-137.1130604567565,94758
869,-137.215275309227,94838
870,-137.53658267381243,94906
871,-137.5564151509283,94986
872,-137.40508352053385,95050
873,-136.32180939369752,95159
874,-136.07551864876655,95223
875,-135.51749948297532,95306
876,-135.20504886071984,95371
877,-134.28134474191765,95430
878,-134.5650682133332,95506
879,-134.35824192574074,95571
880,-134.11051911967482,95668
881,-134.75258178958734,95762
882,-134.73333739890822,95843
883,-134.80465399524658,95933
884,-134.53207820210574,95992
885,-133.98741372269,96064
886,-133.53642626617008,96174
887,-132.57527503783538,96269
888,-133.93713575264672,96379
889,-133.57475939518883,96491
890,-133.75565524603493,96544
891,-135.84759052322582,96644
892,-135.950396424535,96719
893,-135.95266812334916,96821
894,-135.07514912708865,96924
895,-135.11334456642976,97011
896,-134.38315785086633,97115
897,-134.8611061710592,97187
898,-135.06560902125923,97259
899,-133.56803465954206,97324
900,-133.49253966789453,97403
901,-132.88900060932363,97484
902,-132.7776854750876,97540
903,-132.3585838234947,97605
904,-132.60263265859433,97686
905,-134.10650281526455,97796
906,-134.26420910330745,97899
907,-134.33771668012122,97959
908,-133.98253591538045,98023
909,-133.09242167492886,98122
910,-132.47445483896865,98218
911,-132.47952968580802,98291
912,-130.35079359462006,98394
913,-130.28880921753847,98482
914,-130.09745078281458,98540
915,-129.40831755451677,98618
916,-128.9690788568309,98691
917,-127.85458273663895,98767
918,-126.94077306409912,98851
919,-126.76637305469228,98929
920,-126.7267859234577,99025
921,-126.3723772672293,99099
922,-125.83450611156469,99159
923,-124.70455309465868,99220
924,-122.50121589337897,99317
925,-123.5915160119312,99419
926,-122.25064880368207,99529
927,-121.65111572070775,99606
928,-121.66442253383643,99694
929,-123.58219849962882,99795
930,-123.26515418601412,99920
931,-123.26012931116715,100002
932,-121.58524191983912,100107
933,-121.01029370340525,100208
934,-121.28991021033099,100291
935,-120.79256390448951,100370
936,-119.17371191214396,100463
937,-119.41014451645422,100545
938,-117.90241481662738,100624
939,-119.1141658421947,100740
940,-119.2211454441533,100829
941,-120.16881676944534,100937
942,-121.28833438015073,101045
943,-122.65137489087341,101168
944,-122.8538013085092,101281
945,-121.53400888996525,101344
946,-121.30297616379985,101407
947,-121.80448900105439,101481
948,-123.55908489922729,101579
949,-125.35697189587125,101703
950,-128.20269373237682,101807
951,-129.65255608702356,101921
952,-130.00012693978996,102046
953,-129.60488425768708,102110
954,-129.08366734504168,102211
955,-128.26816854037654,102313
956,-128.1468372905829,102388
957,-127.48068119857172,102462
958,-127.60148040481923,102544
959,-127.79544364237418,102621
960,-128.77882340123725,102699
961,-130.99989900837122,102794
962,-130.2878034288208,102886
963,-129.3389676596288,102964
964,-129.15124959673227,103034
965,-131.02407588891302,103170
966,-130.25795930178666,103268
967,-129.02023370703432,103370
968,-130.28552605548148,103484
969,-129.79950026780816,103574
970,-131.99165321558496,103678
971,-132.34205999706043,103802
972,-133.6754623269767,103935
973,-133.6322575079169,104046
974,-133.69286238448097,104136
975,-133.76252042800124,104226
976,-133.51367638886393,104305
977,-133.42387789193918,104372
978,-133.4461430003044,104469
979,-133.0958580078569,104548
980,-134.1628062350063,104654
981,-133.48760036256004,104719
982,-134.00827534182955,104845
983,-133.16732702665348,104916
984,-134.09875209936558,105024
985,-134.04013050729193,105103
986,-134.57688718185224,105212
987,-135.0611354048356,105325
988,-132.76032038482379,105399
989,-133.12014693769055,105471
990,-133.3654322728899,105573
991,-130.6345381358894,105641
992,-131.25395646716876,105763
993,-130.73372042633147,105840
994,-133.69969257302438,105945
995,-133.56087409163086,106041
996,-136.0621874639436,106125
997,-135.60562142114475,106204
998,-137.1833056908966,106330
